title,link,summary,image_url,publication_time,category,url_source,scraped_at
"Kekayaan Elon Musk Kini Lebih Banyak dari SpaceX dan xAI, Bukan Tesla",https://www.liputan6.com/bisnis/read/6157709/kekayaan-elon-musk-kini-lebih-banyak-dari-spacex-dan-xai-bukan-tesla,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,14 Sep 2025 06:00,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Ketua DEN Luhut Bertemu Aliansi Ekonom, Bahas Apa?",https://www.liputan6.com/bisnis/read/6158661/ketua-den-luhut-bertemu-aliansi-ekonom-bahas-apa,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 22:45,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Dari Holden Torana hingga Armada Ramah Lingkungan, Perjalanan Setengah Abad Lebih Blue Bir...",https://www.liputan6.com/bisnis/read/6158663/dari-holden-torana-hingga-armada-ramah-lingkungan-perjalanan-setengah-abad-lebih-blue-bird,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 22:45,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Potret Peluncuran Satelit Nusantara Lima dengan Roket Falcon 9 SpaceX,https://www.liputan6.com/bisnis/read/6158624/potret-peluncuran-satelit-nusantara-lima-dengan-roket-falcon-9-spacex,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 22:05,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Ekonom Tunggu Menkeu Purbaya soal Anggaran untuk Ojol dan Bansos Pangan,https://www.liputan6.com/bisnis/read/6158635/ekonom-tunggu-menkeu-purbaya-soal-anggaran-untuk-ojol-dan-bansos-pangan,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 21:30,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Tanggul Beton Cilincing Abaikan Nelayan,https://www.liputan6.com/bisnis/read/6158613/tanggul-beton-cilincing-abaikan-nelayan,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 21:15,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Sele Raya Belida Temukan Cadangan Migas Baru di Sumsel, Target Produksi Akhir 2025",https://www.liputan6.com/bisnis/read/6158610/sele-raya-belida-temukan-cadangan-migas-baru-di-sumsel-target-produksi-akhir-2025,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 20:35,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Menkeu Purbaya Diminta Bebaskan Pajak Pekerja Bergaji Maksimal Rp 8 Juta,https://www.liputan6.com/bisnis/read/6158599/menkeu-purbaya-diminta-bebaskan-pajak-pekerja-bergaji-maksimal-rp-8-juta,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 20:30,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Perhimpunan Advokat Bantu UMKM Lewat Pendampingan Hukum dan Pelatihan Legalitas Usaha,https://www.liputan6.com/bisnis/read/6158601/perhimpunan-advokat-bantu-umkm-lewat-pendampingan-hukum-dan-pelatihan-legalitas-usaha,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 20:15,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Summarecon Bidik Penjualan Rp 1,5 Triliun di Expo 50 Tahun",https://www.liputan6.com/bisnis/read/6158233/summarecon-bidik-penjualan-rp-15-triliun-di-expo-50-tahun,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 20:00,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
